month,region,rainfall_mm,temperature_c,customer_group,shop_type,product_category,product_name,unit_price_tzs,units_sold,demand_level
1,Arusha,168.8,20.99,general,market_stall,Clothing,Jeans,1713,20,High
7,Mwanza,52.2,22.75,general,retail_shop,Personal care,Lipstick,1232,9,Low
4,Arusha,185.1,20.07,youth,retail_shop,Phone accessories,Laptop,4833,15,High
7,Kilimanjaro,1.9,20.71,general,small_shop,Stationery,Comics,4902,20,Low
1,Dar es Salaam,191.9,27.62,youth,retail_shop,Household items,Cushions,856,22,Low
7,Arusha,19.5,17.72,worker,market_stall,Clothing,T-shirt,1451,12,High
1,Kilimanjaro,43.6,24.46,youth,small_shop,Stationery,Comics,217,13,High
1,Dar es Salaam,191.9,27.62,youth,small_shop,Stationery,Comics,3823,25,High
10,Mwanza,152.75,22.48,general,small_shop,Stationery,Non-fiction,3288,13,Low
10,Mwanza,152.75,22.48,youth,retail_shop,Phone accessories,Smartphone,1195,20,Low
4,Mwanza,222.6,22.37,youth,small_shop,Stationery,Fiction,1285,22,High
4,Arusha,185.1,20.07,youth,market_stall,Sports goods,Treadmill,2136,28,High
1,Zanzibar,201.3,27.76,youth,market_stall,Clothing,Shoes,1559,14,Low
1,Arusha,168.8,20.99,worker,market_stall,Clothing,Shoes,4724,19,Low
10,Dar es Salaam,82.3,25.97,worker,market_stall,Sports goods,Resistance Bands,2861,17,Low
7,Kilimanjaro,1.9,20.71,general,small_shop,Stationery,Fiction,3954,19,High
10,Dar es Salaam,82.3,25.97,general,retail_shop,Phone accessories,Headphones,3299,21,High
4,Arusha,185.1,20.07,general,retail_shop,Household items,Curtains,3771,9,Low
10,Kilimanjaro,51.7,23.9,worker,retail_shop,Household items,Cushions,3252,20,High
7,Mwanza,52.2,22.75,general,small_shop,Stationery,Comics,878,29,High
1,Zanzibar,201.3,27.76,youth,market_stall,Clothing,Shoes,1549,23,High
7,Zanzibar,35.5,24.65,general,retail_shop,Phone accessories,Headphones,3601,8,Low
10,Dar es Salaam,82.3,25.97,worker,small_shop,Stationery,Fiction,1935,23,High
1,Zanzibar,201.3,27.76,worker,retail_shop,Phone accessories,Headphones,2155,10,High
4,Zanzibar,499.3,26.05,youth,retail_shop,Phone accessories,Smartphone,2827,22,Low
1,Kilimanjaro,43.6,24.46,worker,retail_shop,Phone accessories,Smartphone,1750,11,High
1,Dar es Salaam,191.9,27.62,worker,retail_shop,Phone accessories,Smartwatch,4626,17,High
4,Arusha,185.1,20.07,youth,retail_shop,Personal care,Moisturizer,1360,11,Low
7,Kilimanjaro,1.9,20.71,general,small_shop,Stationery,Biography,1677,15,High
7,Kilimanjaro,1.9,20.71,general,market_stall,Sports goods,Resistance Bands,3564,16,High
4,Dar es Salaam,522.0,25.6,youth,retail_shop,Personal care,Perfume,3156,18,Low
4,Arusha,185.1,20.07,general,small_shop,Stationery,Non-fiction,1466,19,Low
7,Kilimanjaro,1.9,20.71,worker,small_shop,Stationery,Non-fiction,133,21,Low
10,Kilimanjaro,51.7,23.9,worker,market_stall,Sports goods,Dumbbells,1015,24,High
10,Mwanza,152.75,22.48,general,retail_shop,Phone accessories,Laptop,3634,18,Low
7,Arusha,19.5,17.72,worker,retail_shop,Personal care,Moisturizer,2470,29,High
1,Mwanza,136.25,21.97,worker,market_stall,Sports goods,Yoga Mat,2716,19,Low
1,Arusha,168.8,20.99,youth,small_shop,Stationery,Biography,3287,11,High
7,Zanzibar,35.5,24.65,general,retail_shop,Household items,Wall Art,1642,20,High
10,Dar es Salaam,82.3,25.97,youth,market_stall,Clothing,Jeans,4571,10,Low
4,Dar es Salaam,522.0,25.6,worker,small_shop,Stationery,Non-fiction,3049,19,Low
1,Mwanza,136.25,21.97,general,retail_shop,Personal care,Foundation,4935,20,High
4,Dar es Salaam,522.0,25.6,youth,small_shop,Stationery,Comics,2523,15,Low
7,Zanzibar,35.5,24.65,worker,market_stall,Clothing,T-shirt,1287,13,Low
1,Mwanza,136.25,21.97,general,market_stall,Clothing,Jeans,987,17,Low
1,Kilimanjaro,43.6,24.46,youth,small_shop,Stationery,Comics,3077,20,Low
7,Kilimanjaro,1.9,20.71,general,retail_shop,Personal care,Foundation,629,24,Low
10,Mwanza,152.75,22.48,general,retail_shop,Phone accessories,Laptop,4619,15,High
1,Dar es Salaam,191.9,27.62,youth,retail_shop,Household items,Lamp,3636,18,Low
1,Kilimanjaro,43.6,24.46,worker,market_stall,Sports goods,Yoga Mat,2279,22,High
4,Mwanza,222.6,22.37,general,market_stall,Sports goods,Dumbbells,815,21,High
7,Zanzibar,35.5,24.65,worker,small_shop,Stationery,Fiction,4811,14,Low
4,Kilimanjaro,205.1,22.21,worker,retail_shop,Phone accessories,Headphones,2727,24,Low
7,Dar es Salaam,20.9,24.91,youth,market_stall,Sports goods,Yoga Mat,3032,23,High
4,Arusha,185.1,20.07,youth,market_stall,Clothing,Jeans,4927,17,Low
4,Kilimanjaro,205.1,22.21,worker,retail_shop,Household items,Wall Art,2341,16,High
1,Dar es Salaam,191.9,27.62,youth,market_stall,Sports goods,Yoga Mat,4369,15,Low
7,Arusha,19.5,17.72,general,retail_shop,Personal care,Lipstick,4435,22,Low
4,Dar es Salaam,522.0,25.6,youth,retail_shop,Phone accessories,Headphones,4099,17,Low
7,Zanzibar,35.5,24.65,general,market_stall,Clothing,Jeans,4932,19,High
10,Mwanza,152.75,22.48,youth,market_stall,Clothing,Shoes,2959,15,High
4,Mwanza,222.6,22.37,general,small_shop,Stationery,Fiction,2617,16,Low
10,Kilimanjaro,51.7,23.9,general,market_stall,Sports goods,Resistance Bands,441,12,Low
1,Dar es Salaam,191.9,27.62,general,retail_shop,Household items,Curtains,852,15,High
1,Kilimanjaro,43.6,24.46,general,small_shop,Stationery,Fiction,3573,26,High
4,Mwanza,222.6,22.37,worker,retail_shop,Household items,Curtains,3375,24,High
10,Mwanza,152.75,22.48,worker,small_shop,Stationery,Non-fiction,769,21,Low
4,Dar es Salaam,522.0,25.6,worker,retail_shop,Personal care,Moisturizer,3415,18,Low
1,Kilimanjaro,43.6,24.46,worker,market_stall,Sports goods,Yoga Mat,2112,18,High
10,Dar es Salaam,82.3,25.97,general,retail_shop,Household items,Curtains,2319,23,High
10,Mwanza,152.75,22.48,worker,market_stall,Sports goods,Resistance Bands,3078,15,Low
7,Kilimanjaro,1.9,20.71,worker,retail_shop,Household items,Cushions,2948,23,High
7,Mwanza,52.2,22.75,youth,retail_shop,Personal care,Foundation,2332,24,High
10,Kilimanjaro,51.7,23.9,worker,small_shop,Stationery,Non-fiction,3947,11,Low
4,Zanzibar,499.3,26.05,youth,market_stall,Clothing,Jacket,1758,15,Low
1,Kilimanjaro,43.6,24.46,youth,market_stall,Sports goods,Resistance Bands,3737,22,High
1,Mwanza,136.25,21.97,general,retail_shop,Phone accessories,Headphones,1268,19,Low
1,Arusha,168.8,20.99,youth,retail_shop,Personal care,Lipstick,4699,23,High
4,Kilimanjaro,205.1,22.21,general,retail_shop,Household items,Curtains,3991,23,High
7,Kilimanjaro,1.9,20.71,general,small_shop,Stationery,Non-fiction,863,23,High
4,Zanzibar,499.3,26.05,worker,small_shop,Stationery,Comics,1356,18,Low
4,Arusha,185.1,20.07,general,small_shop,Stationery,Fiction,4909,23,High
4,Mwanza,222.6,22.37,general,retail_shop,Personal care,Foundation,1755,11,Low
1,Arusha,168.8,20.99,youth,market_stall,Clothing,Jacket,1099,17,High
1,Kilimanjaro,43.6,24.46,youth,market_stall,Clothing,T-shirt,459,6,Low
1,Mwanza,136.25,21.97,youth,retail_shop,Personal care,Lipstick,2547,13,Low
10,Kilimanjaro,51.7,23.9,general,small_shop,Stationery,Fiction,4601,13,High
4,Mwanza,222.6,22.37,youth,small_shop,Stationery,Comics,4953,17,Low
7,Arusha,19.5,17.72,worker,market_stall,Clothing,Jeans,2201,19,High
7,Kilimanjaro,1.9,20.71,general,retail_shop,Phone accessories,Laptop,3821,28,High
1,Kilimanjaro,43.6,24.46,general,retail_shop,Personal care,Moisturizer,559,10,Low
1,Mwanza,136.25,21.97,general,retail_shop,Personal care,Foundation,188,25,Low
1,Kilimanjaro,43.6,24.46,worker,market_stall,Clothing,T-shirt,2707,15,Low
10,Zanzibar,83.5,26.64,worker,retail_shop,Household items,Cushions,3112,17,Low
1,Zanzibar,201.3,27.76,youth,market_stall,Sports goods,Resistance Bands,2516,10,Low
7,Arusha,19.5,17.72,general,retail_shop,Personal care,Lipstick,2989,10,Low
4,Zanzibar,499.3,26.05,general,retail_shop,Phone accessories,Headphones,3335,21,Low
4,Mwanza,222.6,22.37,general,market_stall,Clothing,T-shirt,1068,14,High
1,Zanzibar,201.3,27.76,general,market_stall,Sports goods,Resistance Bands,2643,9,Low
1,Arusha,168.8,20.99,worker,market_stall,Clothing,Jacket,1108,13,Low
1,Dar es Salaam,191.9,27.62,general,small_shop,Stationery,Fiction,679,6,Low
4,Kilimanjaro,205.1,22.21,general,small_shop,Stationery,Fiction,2228,17,Low
